date,amount,category
2023-08-23,125.15,Перевод
2023-08-25,342.6,Оплата Продуктовый
2023-08-28,560.4,Оплата Ресторан
2023-08-30,275.8,Оплата Продуктовый
2023-09-02,850.0,Оплата Ресторан
2023-09-05,1200.0,Оплата Продуктовый
2023-09-07,850.0,Оплата Ресторан
2023-09-10,1200.0,Оплата Продуктовый
2023-09-13,850.0,Оплата Ресторан
2023-09-15,1243.5,Оплата Продуктовый
2023-09-17,650.0,Оплата Аптека
2023-09-20,1200.0,Оплата Ресторан
2023-09-23,450.0,Оплата Продуктовый
2023-09-26,1200.5,Оплата Ресторан
2023-09-28,654.2,Оплата Продуктовый
2023-10-01,1200.0,Оплата Ресторан
2023-10-03,850.0,Оплата Продуктовый
2023-10-06,450.0,Оплата Аптека
2023-10-08,1200.0,Оплата Продуктовый
2023-10-10,850.0,Оплата Аптека
2023-10-13,1200.0,Оплата Продуктовый
2023-10-15,750.0,Оплата Аптека
2023-10-17,1100.0,Оплата Ресторан
2023-10-20,850.0,Оплата Продуктовый
2023-10-22,300.0,Онлайн оплата
2023-10-25,1200.0,Оплата Ресторан
2023-10-28,650.0,Оплата Продуктовый
2023-10-30,350.0,Оплата Аптека
2023-11-02,1200.0,Оплата Продуктовый
2023-11-05,500.0,Оплата Аптека
2023-11-08,1200.0,Оплата Продуктовый
2023-11-10,650.0,Оплата Аптека
2023-11-13,1200.0,Оплата Развлечения
2023-11-16,850.0,Оплата Продуктовый
2023-11-19,460.0,Оплата Аптека
2023-11-22,650.0,Оплата Ресторан
2023-11-24,1200.0,Оплата Продуктовый
2023-11-26,350.0,Онлайн оплата
2023-11-28,650.0,Оплата Продуктовый
2023-12-01,1200.0,Оплата Ресторан
2023-12-03,870.0,Оплата Продуктовый
2023-12-05,450.0,Оплата Аптека
2023-12-08,1200.0,Оплата Продуктовый
2023-12-10,750.0,Оплата Ресторан
2023-12-12,1200.0,Оплата Продуктовый
2023-12-15,750.0,Онлайн оплата
2023-12-17,320.0,Оплата Продуктовый
2023-12-19,450.0,Оплата Ресторан
2023-12-21,1200.0,Оплата Продуктовый
2023-12-23,800.0,Оплата Ресторан
2023-12-26,845.5,Оплата Продуктовый
2023-12-28,1500.0,Перевод
2024-01-02,2300.0,Оплата Продуктовый
2024-01-04,1500.0,Оплата Аптека
2024-01-07,3500.0,Перевод
2024-01-10,1200.0,Оплата Продуктовый
2024-01-12,2500.0,Перевод
2024-01-14,1500.0,Оплата Продуктовый
2024-01-17,2000.0,Перевод
2024-01-20,1500.0,Оплата Продуктовый
2024-01-23,3500.0,Перевод
2024-01-25,2000.0,Оплата Продуктовый
2024-01-27,1500.0,Оплата Аптека
2024-01-30,2300.0,Перевод
2024-02-02,1500.0,Оплата Продуктовый
2024-02-04,2500.0,Перевод
2024-02-06,875.5,Оплата Продуктовый
2024-02-09,642.3,Оплата Аптека
2024-02-12,1800.75,Оплата Ювелирный
2024-02-14,1200.5,Оплата Ресторан
2024-02-17,455.3,Оплата Развлечения
2024-02-20,927.45,Онлайн оплата
2024-02-23,1500.5,Перевод
2024-02-26,2300.75,Оплата Продуктовый
2024-02-28,1200.5,Оплата Аптека
2024-03-02,3500.0,Оплата Ювелирный
2024-03-05,1200.0,Оплата Ресторан
2024-03-08,950.0,Оплата Развлечения
2024-03-10,1200.0,Онлайн оплата
2024-03-13,2450.0,Перевод
2024-03-16,1850.0,Оплата Продуктовый
2024-03-19,750.0,Оплата Аптека
2024-03-22,1800.0,Оплата Ювелирный
2024-03-24,3500.0,Оплата Ресторан
2024-03-27,1200.0,Оплата Развлечения
2024-03-29,850.0,Онлайн оплата
2024-04-02,2030.0,Перевод
2024-04-05,1567.0,Оплата Продуктовый
2024-04-07,890.0,Оплата Аптека
2024-04-10,1530.0,Оплата Ювелирный
2024-04-13,2200.0,Оплата Ресторан
2024-04-15,750.0,Оплата Развлечения
2024-04-18,1500.0,Онлайн оплата
2024-04-21,2100.0,Оплата Продуктовый
2024-04-25,620.0,Оплата Аптека
2024-04-28,1400.0,Оплата Ювелирный
2024-05-01,750.0,Оплата Ресторан
2024-05-03,1200.0,Оплата Развлечения
2024-05-06,800.0,Онлайн оплата
2024-05-09,550.0,Перевод
2024-05-12,1250.0,Оплата Продуктовый
2024-05-14,650.0,Оплата Аптека
2024-05-17,1200.0,Оплата Ювелирный
2024-05-20,1800.0,Оплата Ресторан
2024-05-22,3000.0,Оплата Развлечения
2024-05-25,1200.0,Онлайн оплата
2024-05-28,3500.0,Перевод
2024-05-30,1250.0,Оплата Продуктовый
